x1,id,survey,year,month,day,h_key,x,y,lon_deep,lat_deep,lon_shallow,lat_shallow,mean_cor_depth_m,mean_bathy,mean_depthdiff,num_quadrats,presence,lat,lon,depth,source,num_surveys,multiple_surveys
4540,658_1,PAC 2014-29,2014,5,1,658,749514.7567,908589.6667,-129.7523,53.12483333,-129.7520334,53.12485,-0.918918919,-3.311489105,2.392570186,5,1,53.12483333,-129.7523,-0.918918919,bhm,2,1
4602,671_2,PAC 2014-29,2014,5,1,671,737535.4935,913633.9898,-129.9359166,53.1642,-129.9357167,53.16428334,-1,-3.057226658,2.057226658,1,0,53.1642,-129.9359166,-1,bhm,1,0
4633,679_1,PAC 2014-29,2014,5,1,679,737391.6378,913658.391,-129.9387,53.16441666,-129.9392666,53.16461666,1.708333333,-1.148035645,2.856368979,7,1,53.16441666,-129.9387,1.708333333,bhm,1,0
4603,672_2,PAC 2014-29,2014,5,1,672,736170.8765,913881.3522,-129.9567834,53.16550001,-129.9568833,53.16518334,2.416666667,-0.261429518,2.678096185,3,0,53.16550001,-129.9567834,2.416666667,bhm,2,1
4612,674_3,PAC 2014-29,2014,5,1,674,735263.4526,914837.0032,-129.9711166,53.17376666,-129.9712,53.17305001,11.22058824,10.46475601,1.273420053,11,1,53.17376666,-129.9711166,11.22058824,bhm,6,1
2408,213_1,PAC 2015-36,2015,5,1,213,662250.7014,799200.6419,-130.9422333,52.09748333,-130.9424,52.0965,14.25925926,13,1.259259259,4,1,52.09748333,-130.9422333,14.25925926,bhm,5,1
2434,217_2,PAC 2015-36,2015,5,1,217,657129.5985,799873.9588,-131.0177167,52.10048333,-131.0202333,52.09908334,14,14,0,3,1,52.10048333,-131.0177167,14,bhm,9,1
2428,216_6,PAC 2015-36,2015,5,1,216,658109.5424,799874.0043,-131.0041,52.1011,-131.0033167,52.10118333,-0.203703704,0,0.944444444,5,1,52.1011,-131.0041,-0.203703704,bhm,5,1
2415,214_5,PAC 2015-36,2015,5,1,214,659595.7357,800445.5158,-130.98255,52.10746667,-130.9819333,52.10708334,1.714285714,4,2.637362637,6,1,52.10746667,-130.98255,1.714285714,bhm,4,1
2679,254_5,PAC 2015-36,2015,5,1,254,658718.852,801013.6575,-130.99505,52.11155,-130.9959833,52.11195,6,5,1,2,1,52.11155,-130.99505,6,bhm,7,1
2608,244_1,PAC 2015-36,2015,5,1,244,655490.5942,802126.9506,-131.0439833,52.1194,-131.0444167,52.11866666,16,16,0,1,0,52.1194,-131.0439833,16,bhm,7,1
2615,245_1,PAC 2015-36,2015,5,1,245,655230.1706,803007.5039,-131.0488833,52.12758334,-131.05015,52.12828333,7.722222222,8,0.277777778,3,0,52.12758334,-131.0488833,7.722222222,bhm,6,1
2945,302_11,PAC 2015-36,2015,5,1,302,657353.4625,802986.7687,-131.0195167,52.12928333,-131.0168167,52.1283,4.263157895,5,0.736842105,4,1,52.12928333,-131.0195167,4.263157895,bhm,10,1
2621,246_1,PAC 2015-36,2015,5,1,246,656528.2171,803194.5724,-131.03015,52.1297,-131.03175,52.12885,15.5,16,0.5,2,0,52.1297,-131.03015,15.5,bhm,8,1
2629,247_6,PAC 2015-36,2015,5,1,247,654936.1211,805568.3072,-131.0552,52.15066667,-131.0556167,52.14990001,8.111111111,10,2.481481481,11,1,52.15066667,-131.0552,8.111111111,bhm,3,1
2633,248_2,PAC 2015-36,2015,5,1,248,652300.915,806065.0282,-131.0946,52.15276667,-131.0951333,52.15225,5.915384615,5,0.915384615,12,1,52.15276667,-131.0946,5.915384615,bhm,4,1
2216,178_4,PAC 2015-36,2015,5,1,178,633212.4701,867560.3951,-131.44195,52.69008331,-131.4437667,52.69003334,9.695652174,10,0.304347826,3,1,52.69008331,-131.44195,9.695652174,bhm,7,1
764,1280_3,PAC2018-067,2018,6,1,1280,600093.1315,878133.2036,-131.9446833,52.76068331,-131.9438,52.7609333,14.4,15,0.6,3,0,52.76068331,-131.9446833,14.4,bhm,4,1
768,1281_1,PAC2018-067,2018,6,1,1281,598865.3011,878613.4389,-131.9630334,52.76385002,-131.9623166,52.76338336,15.125,16,0.875,2,0,52.76385002,-131.9630334,15.125,bhm,4,1
775,1283_3,PAC2018-067,2018,6,1,1283,597123.6492,881955.163,-131.9932667,52.79263331,-131.9946833,52.79208336,15.32142857,17,1.678571429,6,0,52.79263331,-131.9932667,15.32142857,bhm,4,1
779,1284_4,PAC2018-067,2018,6,1,1284,592466.9548,888493.599,-132.0710167,52.84746666,-132.0702167,52.84745,11.90322581,13,1.806451613,4,0,52.84746666,-132.0710167,11.90322581,bhm,3,1
1066,1352_2,PAC2018-105,2018,9,1,1352,883629.3087,650521.3371,-127.6545333,50.85698331,-127.6548833,50.85691668,12.35294118,11.65508842,2.060866749,2,0,50.85698331,-127.6545333,12.35294118,bhm,2,1
1068,1353_1,PAC2018-105,2018,9,1,1353,882830.849,652697.0002,-127.6665,50.87610003,-127.6666833,50.87536666,14.24242424,14.33369446,1.373748317,7,1,50.87610003,-127.6665,14.24242424,bhm,6,1
1240,1388_2,PAC2018-105,2018,9,1,1388,882489.0954,652922.3142,-127.6714834,50.8784167,-127.6718667,50.87868334,6.341772152,3.69230175,2.649470402,9,1,50.8784167,-127.6714834,6.341772152,bhm,5,1
1081,1355_6,PAC2018-105,2018,9,1,1355,881327.7672,654937.5687,-127.6879167,50.89650002,-127.68875,50.89608332,4.00952381,4.088605404,0.530438918,4,1,50.89650002,-127.6879167,4.00952381,bhm,5,1
1087,1357_1,PAC2018-105,2018,9,1,1357,877937.2741,656969.418,-127.7370333,50.91365,-127.7359,50.91356665,13.03921569,13.5809288,0.837528079,3,1,50.91365,-127.7370333,13.03921569,bhm,5,1
4952,745_3,PAC 2014-29,2014,5,2,745,731400.3987,957251.2137,-130.0654,53.55125001,-130.0658667,53.55189997,13.43333333,12.8133297,0.891113536,5,1,53.55125001,-130.0654,13.43333333,bhm,5,1
4950,744_4,PAC 2014-29,2014,5,2,744,730504.9358,958553.9358,-130.0801167,53.56264998,-130.0800833,53.56239999,2,1.809908032,0.190091968,7,1,53.56264998,-130.0801167,2,bhm,2,1
4957,746_4,PAC 2014-29,2014,5,2,746,723228.5734,960031.2083,-130.1917,53.57181664,-130.19085,53.57201665,15,17.20807266,2.208072662,1,0,53.57181664,-130.1917,15,bhm,5,1
4975,750_4,PAC 2014-29,2014,5,2,750,723284.2262,960974.6145,-130.1916,53.58031667,-130.1912833,53.58038336,0.032258065,1.457612157,1.425354092,2,1,53.58031667,-130.1916,0.032258065,bhm,3,1
4977,751_4,PAC 2014-29,2014,5,2,751,721120.2212,962497.4201,-130.22555,53.5927,-130.2252333,53.59301669,12,11.75206852,0.24793148,2,0,53.5927,-130.22555,12,bhm,2,1
4980,752_4,PAC 2014-29,2014,5,2,752,716608.4451,964843.1128,-130.2954167,53.61149998,-130.2963167,53.61121667,0.105263158,1.188056469,1.082793311,13,1,53.61149998,-130.2954167,0.105263158,bhm,2,1
5018,763_6,PAC 2014-29,2014,5,2,763,713017.5866,968906.2297,-130.3539333,53.64521669,-130.3538667,53.64558334,4.236842105,5.115862846,0.879020741,7,1,53.64521669,-130.3539333,4.236842105,bhm,3,1
3388,375_10,PAC 2015-36,2015,5,2,375,633930.4426,855042.0571,-131.4157,52.57786668,-131.4178167,52.57881667,1,1,0,3,0,52.57786668,-131.4157,1,bhm,8,1
2152,166_2,PAC 2015-36,2015,5,2,166,633303.0884,857469.7476,-131.4296333,52.59988333,-131.4305,52.59965,14.73529412,16,1.264705882,3,0,52.59988333,-131.4296333,14.73529412,bhm,4,1
2179,170_2,PAC 2015-36,2015,5,2,170,633907.4198,860054.8413,-131.4232667,52.62346668,-131.4223167,52.62351665,15,16,1,3,0,52.62346668,-131.4232667,15,bhm,6,1
2185,171_4,PAC 2015-36,2015,5,2,171,634220.8158,861859.6502,-131.4211833,52.63986664,-131.4200667,52.63963331,14,14,0,1,0,52.63986664,-131.4211833,14,bhm,4,1
3210,343_8,PAC 2015-36,2015,5,2,343,632182.0502,863920.787,-131.45185,52.65703335,-131.4574167,52.65626666,8,8,0,6,1,52.65703335,-131.45185,8,bhm,2,1
2205,176_10,PAC 2015-36,2015,5,2,176,634473.6773,864644.6846,-131.4222333,52.66511669,-131.4201,52.66484998,0.75,1,1,2,0,52.66511669,-131.4222333,0.75,bhm,7,1
3206,342_7,PAC 2015-36,2015,5,2,342,632742.9782,866191.6673,-131.4465167,52.67715003,-131.4489167,52.67793331,9.233333333,9,0.766666667,4,1,52.67715003,-131.4465167,9.233333333,bhm,5,1
3194,341_10,PAC 2015-36,2015,5,2,341,633161.139,870203.8337,-131.44395,52.714,-131.4475167,52.71343333,5,5,0,2,0,52.714,-131.44395,5,bhm,10,1
3193,340_9,PAC 2015-36,2015,5,2,340,630960.6793,872920.5002,-131.4834333,52.73676669,-131.4816,52.73641669,2,2,0,1,1,52.73676669,-131.4834333,2,bhm,5,1
831,1300_3,PAC2018-067,2018,6,2,1300,573032.8423,921661.8883,-132.4031,53.12833333,-132.4034667,53.12781667,10.40740741,12,2.333333333,4,0,53.12833333,-132.4031,10.40740741,bhm,3,1
834,1302_3,PAC2018-067,2018,6,2,1302,576182.8161,921977.471,-132.3565833,53.13370001,-132.35615,53.13288333,15.37037037,15,0.814814815,5,0,53.13370001,-132.3565833,15.37037037,bhm,4,1
814,1299_10,PAC2018-067,2018,6,2,1299,564699.7544,923246.2652,-132.5301,53.1368,-132.5294667,53.13538334,6,6,0,1,0,53.1368,-132.5301,6,bhm,8,1
858,1309_4,PAC2018-067,2018,6,2,1309,568157.6121,923330.2723,-132.4783167,53.13903333,-132.4775333,53.13976666,14.76470588,15,0.823529412,7,0,53.13903333,-132.4783167,14.76470588,bhm,5,1
576,1247_2,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1247,1154308.73,375573.705,-123.9213333,48.37563334,-123.9213333,48.37651666,16,17.15250206,1.15250206,2,0,48.37563334,-123.9213333,16,bhm,7,1
557,1244_1,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1244,1158692.219,375698.6955,-123.86205,48.3757,-123.8600334,48.37796666,4,3.266125917,0.733874083,3,0,48.3757,-123.86205,4,bhm,6,1
563,1245_1,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1245,1157564.581,375901.8284,-123.8771833,48.37784999,-123.8754333,48.38031667,6,5.344621658,0.655378342,3,0,48.37784999,-123.8771833,6,bhm,8,1
574,1246_4,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1246,1155958.422,375957.9436,-123.8989333,48.3783,-123.89935,48.38088334,2,1.882457614,0.117542386,7,1,48.3783,-123.8989333,2,bhm,5,1
583,1248_1,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1248,1152687.616,376302.0014,-123.9426833,48.38275,-123.9409833,48.38505001,5.724770642,4.958340645,0.766429997,15,0,48.38275,-123.9426833,5.724770642,bhm,5,1
595,1250_1,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1250,1149901.364,377158.101,-123.9798167,48.39116666,-123.9775667,48.39335,7,6.316486835,0.683513165,4,0,48.39116666,-123.9798167,7,bhm,5,1
588,1249_14,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1249,1151416.178,377610.9585,-123.9592667,48.39258334,-123.9595667,48.39536667,3,2.9887743,0.0112257,2,0,48.39258334,-123.9592667,3,bhm,5,1
600,1251_11,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1251,1148902.228,378546.3178,-123.9946833,48.40271667,-123.99155,48.40451667,4,3.963974476,0.036025524,2,0,48.40271667,-123.9946833,4,bhm,6,1
606,1252_1,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1252,1145723.707,379766.4589,-124.0351833,48.41574999,-124.0335833,48.41824999,3,2.956049204,0.043950796,5,0,48.41574999,-124.0351833,3,bhm,2,1
608,1253_1,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1253,1143482.213,380112.0502,-124.0652333,48.41941668,-124.0634667,48.42176666,5.461538462,5.223960876,0.513221741,8,0,48.41941668,-124.0652333,5.461538462,bhm,6,1
617,1254_17,Habitat Mapping 2017 - Juan de Fuca,2017,9,2,1254,1142010.459,381053.2559,-124.0865167,48.42563334,-124.0848833,48.42805001,0,0.106042832,0.106042832,1,1,48.42563334,-124.0865167,0,bhm,8,1
1057,1349_2,PAC2018-105,2018,9,2,1349,882073.3817,648497.6624,-127.6756833,50.83863335,-127.67555,50.83878333,13,15.34537601,2.345376015,1,0,50.83863335,-127.6756833,13,bhm,3,1
1055,1348_13,PAC2018-105,2018,9,2,1348,879074.4051,649897.3647,-127.7189166,50.85223331,-127.7188667,50.85039997,2.048192771,2.252248287,3.075870049,5,1,50.85223331,-127.7189166,2.048192771,bhm,2,1
1050,1347_1,PAC2018-105,2018,9,2,1347,876353.3407,651061.1727,-127.7577167,50.86054999,-127.7569,50.86149998,7,7.413105965,0.413105965,1,0,50.86054999,-127.7577167,7,bhm,5,1
4762,704_1,PAC 2014-29,2014,5,3,704,702397.4788,957378.0533,-130.5032833,53.53700002,-130.5031167,53.53736668,-2,-1.083976865,0.916023135,3,1,53.53700002,-130.5032833,-2,bhm,3,1
4947,743_1,PAC 2014-29,2014,5,3,743,701024.7229,958128.845,-130.5253333,53.5425333,-130.5259667,53.54238332,-0.25,1.735365868,1.985365868,2,1,53.5425333,-130.5253333,-0.25,bhm,3,1
4761,703_5,PAC 2014-29,2014,5,3,703,699581.966,960109.8975,-130.5492,53.55958335,-130.54875,53.55955003,12.08333333,13.98239708,1.912999392,3,0,53.55958335,-130.5492,12.08333333,bhm,1,0
4760,702_8,PAC 2014-29,2014,5,3,702,699694.2543,962364.0032,-130.5504833,53.57950001,-130.5479834,53.57995001,3,3.363846302,0.363846302,1,1,53.57950001,-130.5504833,3,bhm,9,1
4981,753_1,PAC 2014-29,2014,5,3,753,698012.0593,964131.1509,-130.5766333,53.5947333,-130.57705,53.59486669,3.909090909,1.859406352,2.049684557,3,1,53.5947333,-130.5766333,3.909090909,bhm,2,1
