x1,location_code_numeric,dec_lat,dec_long,location,depth,pres_abs,density_m2,totalpycnos,area,population_phase,depth_bin,event_year,date,region_full,region_shall,region_deep,source,b_time,max_depth,abundance,date_2,wasting,wasting_presence,site_ymd,n,multiple_surveys
13399,47.1657_-122.8301,47.1657,-122.8301,n/a,NA,0,NA,NA,NA,Decline,shallow,2014,1/15/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,1,47.1657_-122.8301_1/15/2014,1,0
13437,47.17849_-122.5898,47.17849,-122.5898,n/a,NA,1,NA,NA,NA,Decline,shallow,2015,1/10/2015,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,1,47.17849_-122.5898_1/10/2015,1,0
13684,47.17849_-122.5898,47.17849,-122.5898,n/a,NA,1,NA,NA,NA,Decline,shallow,2014,3/18/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,1,47.17849_-122.5898_3/18/2014,1,0
13607,47.22775_-122.5897,47.22775,-122.5897,n/a,NA,0,NA,NA,NA,Current,shallow,2019,2/1/2019,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.22775_-122.5897_2/1/2019,1,0
13600,47.22775_-122.5897,47.22775,-122.5897,n/a,NA,0,NA,NA,NA,Current,shallow,2017,2/20/2017,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.22775_-122.5897_2/20/2017,1,0
13936,47.22775_-122.5897,47.22775,-122.5897,n/a,NA,0,NA,NA,NA,Current,shallow,2017,5/19/2017,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.22775_-122.5897_5/19/2017,1,0
14145,47.22775_-122.5897,47.22775,-122.5897,n/a,NA,0,NA,NA,NA,Decline,shallow,2016,7/11/2016,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.22775_-122.5897_7/11/2016,1,0
14165,47.22775_-122.5897,47.22775,-122.5897,n/a,NA,0,NA,NA,NA,Current,shallow,2018,7/6/2018,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.22775_-122.5897_7/6/2018,1,0
13390,47.23875_-122.6325,47.23875,-122.6325,n/a,NA,1,NA,NA,NA,Decline,shallow,2014,1/11/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,1,47.23875_-122.6325_1/11/2014,1,0
13466,47.23875_-122.6325,47.23875,-122.6325,n/a,NA,1,NA,NA,NA,Current,shallow,2018,1/18/2018,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.23875_-122.6325_1/18/2018,1,0
14561,47.23875_-122.6325,47.23875,-122.6325,n/a,NA,0,NA,NA,NA,Current,shallow,2019,10/25/2019,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.23875_-122.6325_10/25/2019,1,0
14529,47.23875_-122.6325,47.23875,-122.6325,n/a,NA,1,NA,NA,NA,Decline,shallow,2016,10/3/2016,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.23875_-122.6325_10/3/2016,1,0
14708,47.23875_-122.6325,47.23875,-122.6325,n/a,NA,1,NA,NA,NA,Current,shallow,2017,11/10/2017,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.23875_-122.6325_11/10/2017,1,0
14704,47.23875_-122.6325,47.23875,-122.6325,n/a,NA,1,NA,NA,NA,Decline,shallow,2016,11/21/2016,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciObs_Global,NA,NA,NA,NA,1,0,47.23875_-122.6325_11/21/2016,1,0
