dec_lat,dec_long,location,depth,pres_abs,density_m2,totalpycnos,area,PopulationPhase,DepthBin,event_year,date,RegionFull,Region_Shall,Region_Deep,source,BTime,MaxDepth,Abundance,Date
48.949908,-125.149946,baeria_n,18,1,,15.75,,,shallow,2007,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,11.25,,,shallow,2007,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,21,,,shallow,2007,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,18,,,shallow,2007,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,7.5,,,shallow,2009,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,6,,,shallow,2009,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,8,,,shallow,2009,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,2.65,,,shallow,2009,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,9,,,shallow,2009,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,26.79,,,shallow,2009,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,8.57,,,shallow,2009,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,2.33,,,shallow,2009,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,1.71,,,shallow,2010,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,1.71,,,shallow,2010,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,50,,,shallow,2010,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,20,,,shallow,2010,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,5,,,shallow,2010,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,7.5,,,shallow,2014,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,5.85,,,shallow,2014,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,0.67,,,shallow,2014,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,11.54,,,shallow,2014,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,31.46,,,shallow,2014,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,18,,,shallow,2014,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,1.82,,,shallow,2016,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,7.33,,,shallow,2016,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,1,,1,,,shallow,2016,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,1.94,,,shallow,2016,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,1,,2,,,shallow,2016,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,0,,0,,,shallow,2016,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,0,,0,,,shallow,2018,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949908,-125.149946,baeria_n,18,0,,0,,,shallow,2018,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,0,,0,,,shallow,2018,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
48.949,-125.149946,baeria_s,18,0,,0,,,shallow,2018,,,Canada + Puget Sound,Canada + Puget Sound,cote,30,,,
49.349,-122.893,TwinIsland,11.9,1,,12,,,shallow,2010,01-Nov-10,,Canada + Puget Sound,Canada + Puget Sound,cote,44,16.7,3,
49.349,-122.893,TwinIsland,10.3,1,,,,,shallow,2011,19-Jul-11,,Canada + Puget Sound,Canada + Puget Sound,cote,42,17.7,3,
49.349,-122.893,TwinIsland,6.4,0,,0,,,shallow,2014,07-Nov-14,,Canada + Puget Sound,Canada + Puget Sound,cote,45,11.3,0,
49.349,-122.893,TwinIsland,6,0,,0,,,shallow,2018,07-May-18,,Canada + Puget Sound,Canada + Puget Sound,cote,35,10.4,0,
49.334,-122.906,TupperRock,10.6,1,,28,,,shallow,2010,15-Nov-10,,Canada + Puget Sound,Canada + Puget Sound,cote,50,19.2,3,
49.334,-122.906,TupperRock,9.1,1,,,,,shallow,2013,12-Apr-13,,Canada + Puget Sound,Canada + Puget Sound,cote,39,14.3,2,
49.334,-122.906,TupperRock,10.3,0,,0,,,shallow,2018,09-Mar-18,,Canada + Puget Sound,Canada + Puget Sound,cote,43,14.9,0,
49.334,-122.906,TupperRock,10.3,0,,0,,,shallow,2019,08-Mar-19,,Canada + Puget Sound,Canada + Puget Sound,cote,45,14.2,0,
49.334,-122.906,TupperRock,9.6,0,,0,,,shallow,2020,21-Feb-20,,Canada + Puget Sound,Canada + Puget Sound,cote,45,13.7,0,
49.334,-122.906,TupperRock,10.8,0,,0,,,shallow,2021,19-Jul-21,,Canada + Puget Sound,Canada + Puget Sound,cote,43,13.7,0,
49.429,-122.865,CrockerIslSouth,12.5,1,,1,,,shallow,2010,22-Nov-10,,Canada + Puget Sound,Canada + Puget Sound,cote,45,17.7,1,
49.429,-122.865,CrockerIslSouth,8.8,1,,30,,,shallow,2011,11-Aug-11,,Canada + Puget Sound,Canada + Puget Sound,cote,42,16.3,3,
49.429,-122.865,CrockerIslSouth,8.8,1,,3,,,shallow,2012,29-Nov-12,,Canada + Puget Sound,Canada + Puget Sound,cote,40,14.9,2,
49.429,-122.865,CrockerIslSouth,8.5,0,,0,,,shallow,2016,29-Jan-16,,Canada + Puget Sound,Canada + Puget Sound,cote,52,13.7,0,
49.379,-122.879,BestPoint,12.5,1,,,,,shallow,2013,26-Mar-13,,Canada + Puget Sound,Canada + Puget Sound,cote,45,19.1,4,
49.379,-122.879,BestPoint,11.6,1,,,,,shallow,2013,12-Apr-13,,Canada + Puget Sound,Canada + Puget Sound,cote,49,16.4,3,
49.379,-122.879,BestPoint,10,1,,1,,,shallow,2018,18-Mar-18,,Canada + Puget Sound,Canada + Puget Sound,cote,51,16.1,1,
