,ID,Survey,Year,Month,Day,HKey,x,y,LonDeep,LatDeep,LonShallow,LatShallow,mean_CorDepthM,mean_bathy,mean_depthdiff,NumQuadrats,PYC
1,1_5,PAC 2015-52,2015,8,29,1,786907.7926,963333.6483,-129.2304167,53.63111668,-129.2307667,53.63133335,-0.2,-3.369999886,3.169999886,3,0
2317,2_3,PAC 2015-52,2015,8,29,2,792038.5739,967662.0343,-129.1560333,53.6721667,-129.1564667,53.67261664,12.22222222,14.28056812,2.058345901,2,0
2318,2_4,PAC 2015-52,2015,8,29,2,792030.4682,967677.889,-129.1560333,53.6721667,-129.1564667,53.67261664,5.423076923,4.122880936,1.904824184,4,1
2319,2_5,PAC 2015-52,2015,8,29,2,792022.3625,967693.7437,-129.1560333,53.6721667,-129.1564667,53.67261664,0.796296296,1.191394925,0.814375334,5,1
2320,2_6,PAC 2015-52,2015,8,29,2,792014.2567,967709.5985,-129.1560333,53.6721667,-129.1564667,53.67261664,-1.3,-3.109241724,1.809241724,2,0
2930,3_1,PAC 2015-52,2015,8,29,3,795873.765,973280.6639,-129.1018333,53.7243,-129.1018833,53.72438335,11.2,13.8534174,2.653417397,2,0
2931,3_2,PAC 2015-52,2015,8,29,3,795869.1692,973295.7188,-129.1018333,53.7243,-129.1018833,53.72438335,4,1.535951495,2.464048505,1,0
2932,3_3,PAC 2015-52,2015,8,29,3,795864.5734,973310.7738,-129.1018333,53.7243,-129.1018833,53.72438335,-1.411764706,-1.412600517,1.494858854,2,0
3513,4_1,PAC 2015-52,2015,8,29,4,800890.4116,977306.5656,-129.0283167,53.76225001,-129.0286833,53.7627833,7.6875,5.070369244,2.617130756,2,0
3514,4_2,PAC 2015-52,2015,8,29,4,800883.7243,977325.3378,-129.0283167,53.76225001,-129.0286833,53.7627833,4,3.510416031,0.489583969,1,0
3515,4_3,PAC 2015-52,2015,8,29,4,800877.037,977344.11,-129.0283167,53.76225001,-129.0286833,53.7627833,2,1.989556074,0.010443926,1,0
3516,4_4,PAC 2015-52,2015,8,29,4,800870.3497,977362.8822,-129.0283167,53.76225001,-129.0286833,53.7627833,-0.916666667,-0.568225026,0.443145812,10,0
3517,4_5,PAC 2015-52,2015,8,29,4,800863.6624,977381.6544,-129.0283167,53.76225001,-129.0286833,53.7627833,-2,-1.908596516,0.091403484,3,0
3518,4_6,PAC 2015-52,2015,8,29,4,800856.975,977400.4266,-129.0283167,53.76225001,-129.0286833,53.7627833,-4.5,-3.369999886,1.130000114,2,0
3913,5_8,PAC 2015-52,2015,8,29,5,798728.4583,983919.556,-129.06555,53.82125003,-129.0655,53.82105001,12,16.8408947,4.840894699,1,0
4289,6_2,PAC 2015-52,2015,8,29,6,804742.5673,978243.4695,-128.9704166,53.77186667,-128.9707333,53.77191664,8.5,10.72534084,2.225340843,2,0
4290,6_3,PAC 2015-52,2015,8,29,6,804724.4957,978249.1315,-128.9704166,53.77186667,-128.9707333,53.77191664,-1.875,-1.394259214,2.276435196,3,0
