H_key,Line,species,weight,estimated,num_caught,num_per_kg,SetNum,Year,Month,Day,soak_hrs,MinDepth,MaxDepth,DepthUnit,StatArea,SubArea,GeogLoc,StartLatDeg,StartLatMin,StartLongDeg,StartLongMin,TrapSpacing
15701,1,4TA,2.5,TRUE,2,,1,2014,7,14,24,10,12,M,24,9,"Tofino, Lemmons",49,12.28299999,125,51.95199966,30
15702,1,4TA,3.5,TRUE,3,,2,2014,7,14,24,5,8,M,24,9,Tofino Harbour,49,9.958000183,125,53.26900101,30
15703,1,4TA,3.5,TRUE,3,,3,2014,7,14,25,12,12,M,24,9,"Tofino, Bronning",49,8.512999535,125,52.77799988,30
15704,2,4TA,2.5,TRUE,2,,1,2014,7,15,168,20,20,M,24,6,Tofino,49,13.83500004,125,56.83300018,30
15704,1,4XE,1.5,TRUE,1,,1,2014,7,15,168,20,20,M,24,6,Tofino,49,13.83500004,125,56.83300018,30
15705,1,4TA,1.5,TRUE,1,,2,2014,7,15,289,25,30,M,24,7,Tofino,49,14.26900005,125,54.69400024,30
15706,1,4TA,3.5,TRUE,3,,3,2014,7,15,290,7,7,M,24,9,Tofino Harbour,49,9.965000153,125,53.22600174,30
15707,1,4TA,2.5,TRUE,4,,4,2014,7,15,292,12,12,M,24,9,"Tofino, Lemmons",49,12.13099957,125,51.74100113,30
15718,1,4XE,2,TRUE,1,,3,2014,7,25,48,15,17,M,28,7,Vancouver,49,17.35400009,123,11.66399956,50
15737,2,4XE,1,TRUE,1,,2,2014,8,7,48,15,16,M,24,9,Tofino,49,11.86900043,125,52.13700104,30
15742,1,4XE,3.5,TRUE,3,,1,2014,8,18,48,30,30,M,18,2,Ganges,48,50.81100082,123,24.36199951,30
15743,1,4TA,2.5,TRUE,2,,2,2014,8,18,74,80,80,M,18,4,Ganges,48,48.95800018,123,21.30400085,30
15744,1,4TA,1,TRUE,1,,3,2014,8,18,51,40,40,M,18,3,Ganges,48,48.60699844,123,25.21899986,30
15747,1,4XE,2.5,TRUE,3,,6,2014,8,18,54,20,20,M,19,5,Cordova Bay,48,32.44400024,123,19.15299988,30
15748,1,4XE,1.5,TRUE,1,,7,2014,8,18,55,15,15,M,19,5,Cordova Bay,48,31.12100029,123,20.21299934,30
15752,1,4TA,2.5,TRUE,2,,1,2014,8,21,75,1,4,M,12,39,Health Bay,50,41.47700119,126,34.91999817,30
15753,1,4TA,1,TRUE,1,,2,2014,8,21,76,5,5,M,12,39,Health Bay,50,40.89400101,126,34.68600082,30
15805,1,4XE,3.5,TRUE,8,2,32,2014,9,11,176,54.90000153,54.90000153,M,101,10,1,54,13.97099972,131,36.91899872,
15808,1,4XE,20,TRUE,42,2,35,2014,9,12,177,73.19999695,73.19999695,M,101,10,1,54,10.64000034,131,44.47800064,
15809,1,4XE,8,TRUE,16,2,36,2014,9,12,184,0,0,M,101,10,1,54,10.64000034,131,44.47800064,
15810,2,4XE,5,TRUE,11,2,37,2014,9,12,187,40,40,M,101,10,1,54,10.62100029,131,44.37599945,
15811,1,4XE,0.5,TRUE,1,,38,2014,9,12,161,8,8,M,101,10,1,54,11.47599983,131,39.37200165,
15812,1,4XE,0.5,TRUE,1,,39,2014,9,13,164,44,44,M,101,7,1,54,9.532999992,131,48.0530014,
15813,1,4XE,1,TRUE,2,,40,2014,9,13,207,14,14,M,101,10,1,54,11.50300026,131,40.33000183,
15814,1,4XE,30,TRUE,59,2,41,2014,9,13,187,16,16,M,101,10,1,54,11.3409996,131,42.1269989,
15815,1,4XE,1,TRUE,3,3,42,2014,9,13,206,9,9,M,1,5,1,54,5.892000198,131,47.40499878,
15818,1,4XE,0.5,TRUE,1,,45,2014,9,13,243,0,0,M,104,5,2,54,9.715999603,131,23.3390007,
15821,1,4XE,0.5,TRUE,1,2,48,2014,9,25,192,16.46999931,29.28000069,M,104,5,1,54,5,131,27,
15830,1,4XE,0.5,TRUE,1,2,57,2014,9,26,216,42.09000015,60.38999939,M,101,10,2,54,12,131,42,
15833,2,4XE,0.5,TRUE,1,2,60,2014,9,26,216,21.95999908,47.58000183,M,101,10,2,54,12,131,42,
15835,1,4XE,0.5,TRUE,1,2,62,2014,9,26,216,21.95999908,47.58000183,M,101,10,2,54,12,131,42,
15836,1,4XE,1,TRUE,2,2,63,2014,9,26,216,21.95999908,47.58000183,M,101,10,2,54,12,131,42,
15837,1,4XE,5.199999809,TRUE,7,,64,2014,9,26,216,40,40,M,1,5,2,54,8,131,48,
15840,1,4XE,0.5,TRUE,1,2,67,2014,9,26,216,40,40,M,1,5,2,54,8,131,48,
15847,1,4XE,1,TRUE,1,,1,2014,10,7,120,50,50,M,18,10,Fulford Harbour,48,44.45999908,123,24.67700005,30
15848,1,4TA,1.5,TRUE,1,,2,2014,10,7,48,30,30,M,19,5,Sidney Spit,48,39.56100082,123,22.15500069,30
15849,1,4XE,3.5,TRUE,3,,3,2014,10,7,50,12,13,M,19,5,Sidney Spit,48,38.17300034,123,20.62899971,30
15850,1,4XE,1.5,TRUE,2,,4,2014,10,7,74,13,14,M,19,5,South of James,48,33.6269989,123,19.8939991,30
15851,1,4XE,2.5,TRUE,2,,5,2014,10,7,76,20,20,M,19,5,South of James,48,33.13700104,123,20.06599998,30
15853,1,4TA,2.5,TRUE,2,,7,2014,10,7,78,20,20,M,19,5,Sidney Spit,48,38.95600128,123,20.87000084,30
15855,1,4TA,1.5,TRUE,2,,1,2014,10,8,74,30,30,M,24,11,Indian Bay,49,6.795000076,125,43.46099854,30
15856,1,4XE,2.5,TRUE,2,,2,2014,10,8,124,12,12,M,24,9,Bronning,49,8.977000237,125,53.20000076,30
15857,2,4XE,1,TRUE,1,,3,2014,10,8,100,7,7,M,24,9,Bronning,49,8.991999626,125,53.32600021,30
20932,1,4TA,0.25,TRUE,1,,1,2020,2,2,20,10,20,M,12,26,Lagoon Cove,50,35.73099899,126,18.76499939,60
20324,2,4TA,0.100000001,TRUE,1,,3,2019,5,16,26,2,8,M,19,5,Sidney Spit,48,38.64199829,123,20.50499916,30
20327,1,4TA,0.400000006,TRUE,1,,2,2019,5,17,23,0,10,M,12,6,Indian Ch,50,35.38000107,126,36.38000107,55
20332,1,4TA,0.5,TRUE,2,,4,2019,5,17,23,2,5,M,12,26,Dead Point,50,35.50600052,126,35.08599854,50
20336,2,4TA,1.200000048,TRUE,1,,2,2019,5,18,20,10,30,M,12,26,Cutter Cove,50,37.00699997,126,16.24900055,115
