"survey_series_id","survey_id","species_code","survey_desc","trip_id","year","fishing_event_id","fe_major_level_id","latitude","longitude","grouping_code","major_stat_area_code","minor_stat_area_code","depth_m","duration_min","doorspread_m","speed_mpm","tow_length_m","catch_weight","density_kgpm2","catch_count","density_pcpm2","skate_count","hook_count","density_ppkm2","survey_series_desc","survey_abbrev","species_common_name","species_science_name","species_desc"
1,2,"4XE","2004 Queen Charlotte Sound Synoptic",55600,2004,501948,179,50.954816,-129.076383,18,"05","11",88,20,71.6,95.000019,1940,4.5,3.2396475263e-05,1,7.35077771243781e-06,NA,NA,NA,"Queen Charlotte Sound Synoptic Bottom Trawl","SYN QCS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
1,3,"4XE","2005 Queen Charlotte Sound Synoptic",59120,2005,885879,68,51.914033,-129.221316,19,"06","08",169,20,76.5,93.333352,1880,0.9,6.257822278e-06,1,7.00279971988824e-06,NA,NA,NA,"Queen Charlotte Sound Synoptic Bottom Trawl","SYN QCS","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328854,5,53.7685,-130.658,82,"08","05",112,34,43,80.000016,NA,1.9,1.6244866792e-05,2,1.70998597811224e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328855,6,53.7295,-130.749166,82,"08","05",128,32,43,83.33335,NA,0,0,1,8.72092848837244e-06,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328857,8,53.878,-130.8855,80,"08","04",83,31,43,83.33335,NA,0.8,7.20179901e-06,1,9.00224876219091e-06,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328858,9,53.807166,-131.015,78,"08","05",50,30,43,90.000018,NA,2.5,2.1533156761e-05,3,2.58397881136961e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328859,10,53.913666,-131.064666,79,"08","04",57,30,43,90.000018,2400,1.3,1.2596899225e-05,2,1.72265254091307e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328861,12,53.982,-131.130166,78,"08","04",38,30,43,76.666682,NA,3.3,3.3367030738e-05,3,3.03336643073824e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328873,25,54.3715,-131.102333,81,"08","04",104,15,43,83.33335,1500,0,0,1,1.86046474418612e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328903,54,53.958,-131.276333,77,"08","04",26,31,43,76.666682,2200,1.1,1.1627906977e-05,2,1.95701060047628e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328916,67,53.648666,-130.972333,78,"08","05",43,20,43,76.666682,1500,0.7,1.0852713178e-05,1,1.51668321536912e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328926,77,53.441666,-131.291833,77,"08","01",26,26,43,73.333348,1900,2.5,3.0599755202e-05,1,1.21971027809405e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
2,14,"4XE","2003 Hecate Strait multispecies",50200,2003,328931,82,53.2595,-130.995833,80,"07","06",77,20,43,76.666682,1500,1.5,2.3255813953e-05,2,3.03336643073824e-05,NA,NA,NA,"Hecate Strait Multispecies Assemblage Bottom Trawl","HS MSA","sunflower starfish","pycnopodia helianthoides","sunflower starfish"
