H_key,Line,species,weight,estimated,num_caught,num_per_kg,year,month,day,set_num,stat_area,sub_area,start_lat_deg,start_lat_min,start_long_deg,start_long_min,min_depth,max_depth,depth_unit,soaktime
1329,3,4TA,1,TRUE,,,1980,2,10,24,12,45,,,,,16,16,F,20
1610,2,4TA,0.100000001,TRUE,1,,1977,6,24,12,12,40,,,,,40,40,F,20
1666,4,4TA,0.100000001,TRUE,4,,1977,10,19,28,12,37,,,,,48,49,F,20
2285,3,4TC,6,TRUE,,,1980,3,3,6,2,10,,,,,50,65,F,6
2341,3,4TC,4,TRUE,,,1980,3,14,62,2,12,,,,,34,35,F,6
2957,3,4TC,,TRUE,,,1982,11,9,1,23,2,,,,,35,45,F,48
3579,5,4TA,,TRUE,3,,1975,10,8,86,5,17,53,15.5,129,47.20000076,30,35,F,19
3635,8,4TA,,TRUE,1,,1975,10,24,142,6,3,53,28,128,52.40000153,50,50,F,14
3915,9,4TA,,TRUE,3,,1974,12,19,169,8,8,52,36,127,7.199999809,22,36,F,17
3971,12,4TA,,TRUE,1,,1975,1,24,225,8,7,52,24.5,127,19.20000076,23,44,F,16
4027,4,4TA,0.100000001,TRUE,1,,1975,2,11,281,7,9,52,28.29999924,128,20.89999962,15,34,F,20
67248,3,4XE,0.389999986,FALSE,1,3,2019,11,6,3,28,4,49,34.7140007,123,18.85400009,72,95,M,19
67260,7,4XE,0.389999986,FALSE,1,3,2019,11,7,15,28,1,49,24.97800064,123,19.4659996,55,70,M,18
67274,5,4XE,0.039999999,FALSE,1,25,2019,11,10,29,28,1,49,26.04400063,123,22.50099945,64,83,M,21
53997,1,4XE,1.639999986,FALSE,1,1,2015,11,9,38,28,3,49,28.22100067,123,27.63500023,78,106,M,21
59706,1,4XE,0.25999999,FALSE,1,4,2018,2,9,2,28,4,49,31.69599915,123,17.1970005,62,84,M,24
59728,1,4XE,0.349999994,FALSE,1,3,2018,2,12,24,28,1,49,25.13100052,123,19.3029995,56,68,M,24
57688,2,4XE,0.819999993,FALSE,4,5,2017,2,13,29,28,2,49,24.87299919,123,18.4810009,64,83,M,21
64631,2,4XE,0.589999974,FALSE,,,2019,2,9,23,28,1,49,26.86300087,123,24.11199951,71,90,M,17
64634,5,4XE,0.600000024,FALSE,1,2,2019,2,10,26,28,1,49,24.34700012,123,29.67200089,61,74,M,24
64641,2,4XE,1.230000019,FALSE,1,1,2019,2,11,33,28,1,49,24.46500015,123,23.34000015,41,115,M,22
51156,3,4XE,0.529999971,FALSE,1,2,2015,2,11,44,28,3,49,32.4129982,123,26.13199997,58,130,M,19
20801,3,4XE,0.699999988,FALSE,1,1,2003,10,29,1,28,2,49,20.5510006,123,17.97299957,62,80,M,25
20805,3,4XE,2,FALSE,,,2003,10,29,5,28,2,49,27.04100037,123,18.80599976,60,80,M,18
20807,6,4XE,0.300000012,FALSE,1,3,2003,10,29,7,28,2,49,25.44099998,123,14.14999962,66,94,M,14
20808,1,4XE,0.01,FALSE,1,100,2003,10,30,8,28,2,49,23.37299919,123,15.6260004,60,85,M,24
20815,4,4XE,0.699999988,FALSE,1,1,2003,10,31,15,28,1,49,26.16200066,123,21.09399986,62,87,M,25
20821,2,4XE,0.600000024,FALSE,1,2,2003,10,31,21,28,1,49,26.38299942,123,22.60199928,82,91,M,21
20823,1,4XE,0.300000012,FALSE,1,3,2003,11,1,23,28,3,49,31.72100067,123,23.7310009,51,76,M,28
20829,2,4XE,0.280000001,FALSE,,,2003,11,2,29,28,1,49,24.94499969,123,19.58600044,48,57,M,22
20837,1,4XE,0.200000003,FALSE,1,5,2003,11,3,37,28,4,49,31.74300003,123,17.18499947,70,90,M,25
20847,3,4XE,0.100000001,FALSE,1,10,2003,11,4,47,28,1,49,23.24200058,123,27.22200012,72,94,M,18
20849,5,4XE,1.200000048,FALSE,1,1,2003,11,4,49,28,1,49,23.9829998,123,25.62700081,60,86,M,17
24798,3,4XE,0.600000024,FALSE,1,2,2004,11,17,52,28,2,49,32.24300003,123,19.70100021,67,90,M,24
24808,2,4XE,0.899999976,FALSE,2,2,2004,11,10,6,28,1,49,26.78899956,123,24.07799911,78,95,M,17
24809,1,4XE,11.69999981,FALSE,4,0,2004,11,10,7,28,3,49,27.11300087,123,26.81200027,35,53,M,23
24813,1,4XE,1.700000048,FALSE,1,1,2004,11,11,11,28,1,49,24.19000053,123,23.61700058,60,87,M,22
24814,1,4XE,4.5,FALSE,2,0,2004,11,11,12,28,1,49,26.38299942,123,22.60199928,75,85,M,19
24817,2,4XE,0.699999988,FALSE,1,1,2004,11,12,15,28,1,49,24.8409996,123,21.72999954,63,83,M,23
24818,1,4XE,2.599999905,FALSE,2,1,2004,11,12,16,28,1,49,24.95999908,123,19.9829998,45,65,M,21
24830,1,4XE,1.600000024,FALSE,1,1,2004,11,13,28,28,2,49,25.19199944,123,14.22399998,66,85,M,19
24833,2,4XE,0.209999993,FALSE,1,5,2004,11,14,31,28,4,49,31.65299988,123,17.11300087,75,90,M,26
24837,1,4XE,3.299999952,FALSE,2,1,2004,11,14,35,28,3,49,31.38500023,123,26.11599922,60,81,M,17
24838,3,4XE,0.699999988,FALSE,1,1,2004,11,15,36,28,3,49,31.74600029,123,23.79299927,75,90,M,25
24841,1,4XE,0.219999999,FALSE,1,5,2004,11,15,39,28,4,49,32.61700058,123,14.93400002,72,92,M,22
25583,5,4XE,2.599999905,FALSE,,,2005,2,17,15,28,4,49,34.67300034,123,19.06299973,74,92,M,20
25590,2,4XE,1.100000024,FALSE,,,2005,2,18,22,28,1,49,24.30500031,123,29.68000031,67,77,M,16
25596,2,4XE,1.600000024,FALSE,1,1,2005,2,19,28,28,2,49,23.32999992,123,15.66499996,75,87,M,19
25597,1,4XE,1.600000024,FALSE,1,1,2005,2,20,29,28,1,49,24.72500038,123,26.80500031,57,80,M,0
25601,2,4XE,1.799999952,FALSE,,,2005,2,20,33,28,3,49,27.2840004,123,26.99399948,35,62,M,
25603,1,4XE,6.800000191,FALSE,3,0,2005,2,21,35,28,1,49,24.22200012,123,25.64599991,60,85,M,25
25606,1,4XE,3.5,FALSE,2,1,2005,2,21,38,28,1,49,24.97699928,123,19.92200089,62,85,M,21
25617,1,4XE,0.899999976,FALSE,1,1,2005,2,23,49,28,1,49,26.38299942,123,22.60199928,64,84,M,22
25618,1,4XE,0.050000001,FALSE,,,2005,2,23,50,28,1,49,23.22599983,123,27.14800072,77,90,M,19
25619,1,4XE,0.400000006,FALSE,1,2,2005,2,23,51,28,1,49,22.24699974,123,28.95700073,60,73,M,1
21140,2,4XE,1.289999962,FALSE,1,1,2004,2,15,21,28,2,49,29.15099907,123,19.7140007,62,85,M,22
21141,3,4XE,0.300000012,FALSE,,,2004,2,15,22,28,2,49,29.88800049,123,15.02999973,71,95,M,20
21144,1,4XE,0.889999986,FALSE,1,1,2004,2,15,25,28,3,49,31.86899948,123,23.53800011,52,78,M,19
21146,3,4XE,1,FALSE,2,2,2004,2,16,27,28,2,49,32.56600189,123,19.3220005,87,95,M,27
21154,2,4XE,0.639999986,FALSE,1,2,2004,2,17,35,28,1,49,24.12999916,123,25.59799957,63,90,M,27
