id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
8698,2007-03-13,2007-03-13,,Eastern Time (US & Canada),169,flapack,2010-10-18 18:28:48 UTC,2020-10-29 17:11:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/8698,https://inaturalist-open-data.s3.amazonaws.com/photos/18627/medium.jpg,,,,2,0,FALSE,,"Discovery Passage, BC",50.07846069,-125.253067,,,,open,FALSE,,,sunflower sea star,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
23722,"June 30, 2011 8:07:22 AM PDT",2011-06-30,2011-06-30 15:07:22 UTC,Pacific Time (US & Canada),1421,tewksjj,2011-07-02 12:00:23 UTC,2015-06-02 06:12:11 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/23722,https://inaturalist-open-data.s3.amazonaws.com/photos/42761/medium.jpg,,,Sunflower star,2,0,FALSE,,"50.02692794799805, -125.24188232421875",50.25955281,-125.320766,,,,open,FALSE,,,Pycnopodia helianthoides,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
1532268,Sat May 23 2015 13:44:56 GMT-0700 (PDT),2015-05-23,2015-05-23 20:44:56 UTC,Pacific Time (US & Canada),104258,shelleymac11,2015-05-23 20:46:32 UTC,2016-03-15 19:10:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1532268,https://inaturalist-open-data.s3.amazonaws.com/photos/1898450/medium.jpg,,,,3,1,FALSE,3,"624–688 Fort Rodd Hill Rd, Colwood, BC, CA",48.431029,-123.448771,5,5,,open,FALSE,,,Sunflower Sea Star,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
1556757,2014-08-27,2014-08-27,,Eastern Time (US & Canada),103153,jennybear,2015-05-28 15:47:13 UTC,2021-03-24 00:58:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1556757,https://inaturalist-open-data.s3.amazonaws.com/photos/1927267/medium.jpg,,"purple, sun, star","Walking the shores of a small island off Vancouver Island, British Columbia.  At low tide it is amazing the sea life you come across.  (aka star fish)",5,1,FALSE,62,"Mount Waddington, CA-BC, CA",50.7214166,-127.3948517,,,,open,FALSE,,,Sunflower Sea Star,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
1791417,2009-07-28,2009-07-28,,Eastern Time (US & Canada),109975,dkaposi,2015-07-23 02:10:28 UTC,2020-10-29 19:23:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1791417,https://inaturalist-open-data.s3.amazonaws.com/photos/2170190/medium.jpg,,,,6,2,FALSE,,"West Craycroft Island, BC",50.534,-126.620012,5,5,,open,FALSE,,manual,Sunflower Sea Star,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
1822973,Sat Aug 01 2015 12:06:08 GMT-0700 (PDT),2015-08-01,2015-08-01 19:06:08 UTC,Pacific Time (US & Canada),104298,elbowingpenalty,2015-08-01 19:06:13 UTC,2015-08-26 10:14:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1822973,https://inaturalist-open-data.s3.amazonaws.com/photos/2211236/medium.jpg,,,,1,0,FALSE,3,"9080 Ardmore Dr, North Saanich, BC, CA",48.627838,-123.479837,5,5,,open,FALSE,,,Sunflower Sea Star,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
1824504,Sat Aug 01 2015 12:17:56 GMT-0700 (PDT),2015-08-01,2015-08-01 19:17:56 UTC,Pacific Time (US & Canada),104298,elbowingpenalty,2015-08-02 04:55:51 UTC,2016-08-25 21:41:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1824504,https://inaturalist-open-data.s3.amazonaws.com/photos/2213540/medium.jpg,,,,1,0,FALSE,3,"9060 Ardmore Dr, North Saanich, BC, CA",48.62746,-123.479202,30,30,,open,FALSE,,,Sunflower Sea Star,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
1841457,2013-03-30 15:28,2013-03-30,2013-03-30 22:28:00 UTC,Pacific Time (US & Canada),121416,phylocode,2015-08-07 21:16:05 UTC,2020-10-29 17:28:51 UTC,research,CC-BY-NC,http://inaturalist.ca/observations/1841457,https://inaturalist-open-data.s3.amazonaws.com/photos/2237595/medium.JPG,,"starfish, beach, asteroidea, echinodermata",,3,0,FALSE,,Confederation Park off leash trail,49.290476,-123.001009,,,,open,FALSE,,,Sunflower Sea Star,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
2639874,2014-05-19 17:39,2014-05-19,2014-05-20 00:39:04 UTC,Pacific Time (US & Canada),111522,nanorca13,2016-02-02 20:51:02 UTC,2018-11-27 04:29:15 UTC,research,CC-BY-NC,http://inaturalist.ca/observations/2639874,https://inaturalist-open-data.s3.amazonaws.com/photos/2961248/medium.JPG,,,Low tide at the Heriot Bay Inn Marina.,2,0,FALSE,,"Heriot Bay, Quadra Island, BC",50.102744,-125.211439,182,182,,open,FALSE,,,Sunflower Sea Star,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
2976203,2013-10-13,2013-10-13,,Pacific Time (US & Canada),190758,divemaster,2016-04-19 20:46:19 UTC,2017-04-06 17:50:44 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2976203,https://inaturalist-open-data.s3.amazonaws.com/photos/3420432/medium.jpg,,,Sunstar,2,0,FALSE,,"Retreat Cove, Galiano Island",48.940211,-123.502679,184,184,,open,FALSE,,,Sunflower Sea Star,Pycnopodia helianthoides,Sunflower Sea Star,Animalia,47673
